科目名、コード、日本語（Y,N)、クオーターかセメスター
Intro to Microeconomics、1D10322001,N,1Q月1,1Q水2
マーケテイング論、1320003002、Y,セメスター
ファイナンス入門、1330108001、Y、セメスター
ミクロ経済学１、1E10571001、Y、セメスター
会計学総論基礎、1330103001、Y、セメスター
自然地理学A、1510232001、Y、セメスター
書道IA、1140124002、Y、セメスター
比較社会論、1170024001、Y、セメスター
広告論、1320202001、Y、セメスター
現代の広告、1320206001、Y、セメスター
ジェンタート不平等、1510258001、Y、セメスター
東洋芸術文化特講、1190131001、Y、セメスター
心理学概論、1150203001、Y、セメスター
漫画文化研究、1140176001、Y、セメスター
方言と文化、114017001、Y、セメスター
仏教思想特講、1190121001、Y、セメスター
地理学A、1050103002、Y、セメスター
日本の言語行動、１１A0118001、Y、セメスター
コミュニケーション＆マナー入門、1050115001、Y、セメスター
心理学A、1050107007、Y、セメスター
